"","redSide","blueSide","gameId"
"1",105550026570060784,105550033967461808,110378429158160384
"2",105550005698683824,109485335453835904,110471139171602608
"3",108352305932141952,109696092218588992,110535609417029696
"4",99566406332987984,107700204561086448,110847390580148352
"5",105550001032913824,109485335453835904,110413246204026224
"6",99566404853058752,98767991882270864,110825936252892816
"7",107416483509696256,105504044166670512,110343648528824416
"8",99566404850008784,99566404852189296,110428848767941216
"9",105550042327365040,105550026570060784,110378429158160208
"10",105505619546859888,102747101565183056,110371551279081920
"11",99566405126602848,105913238372341488,110574243271705488
"12",105550047979361280,105550054006182912,110378429158160304
"13",109642680932009856,109642690191894400,110425082379044736
"14",100725845022060224,100205573495116448,110371551279081952
"15",102747101565183056,99566404581868576,110371551279082000
"16",98767991877340528,99294153824386384,110755083390921840
"17",105593951536470384,105594135137147296,110425027634824112
"18",102787200136756176,105504044166670512,110343648528758784
"19",100205573496804592,100725845022060224,110371551279081968
"20",102787200149928960,105521706535388096,110428723805337024
"21",98767991926151024,107563714667537632,110429332689390752
"22",100285330168091792,101428372605353520,110395308895739920
"23",103461966971048048,99566405126602848,110574245860979952
"24",108078422885368640,102787200149928960,110428723805336992
"25",99566405126602848,105913238372341488,110574245860979968
"26",105559480124455984,99322214689444544,110343648528824368
"27",99566404856367472,99566404853058752,110428848767875136
"28",107580483738977504,109783149221216048,110428603625878816
"29",103535282119620512,109668849651338560,110395308895739920
"30",98767991853197856,100205573495116448,110371551279081952
"31",99566408562477648,98767991935149424,110411420270240368
"32",103535282119620512,101428372605353520,110395308895739936
"33",101428372607057472,101428372598668848,110395308895674304
"34",105537149834356304,105536773074826368,107457033676741280
"35",105593182576105600,107575082591536096,109467357560064288
"36",107603548241713728,107603544245460192,108285920951532496
"37",105515219038427024,103935468920814048,105568157422080800
"38",102787200132955072,105593951536470384,106311748112079120
"39",105503948999800560,102787200136756176,106305935742475824
"40",98767991935149424,99566405944694624,102147203803367584
"41",103461966975897712,105913238372341488,105913088925085248
"42",100725845018863248,99566404585387056,104841804589544576
"43",104367068120825488,99566404846951824,104841804589413344
